iter	Passed	Remaining
899	1938	4524
900	1940	4520
901	1942	4517
902	1944	4514
903	1945	4511
904	1947	4508
905	1949	4505
906	1951	4502
907	1953	4500
908	1955	4497
909	1956	4494
910	1958	4490
911	1960	4487
912	1961	4484
913	1963	4482
914	1966	4479
915	1967	4476
916	1969	4473
917	1970	4470
918	1972	4467
919	1974	4463
920	1976	4460
921	1977	4457
922	1979	4454
923	1981	4451
924	1983	4448
925	1984	4445
926	1986	4442
927	1988	4439
928	1990	4436
929	1992	4434
930	1994	4431
931	1995	4428
932	1997	4425
933	1999	4422
934	2001	4419
935	2002	4416
936	2004	4413
937	2006	4411
938	2008	4407
939	2010	4405
940	2011	4401
941	2013	4398
942	2015	4395
943	2016	4392
944	2018	4389
945	2020	4386
946	2022	4383
947	2023	4380
948	2025	4377
949	2027	4374
950	2029	4371
951	2030	4368
952	2032	4366
953	2034	4363
954	2036	4359
955	2037	4356
956	2039	4353
957	2041	4350
958	2042	4347
959	2044	4344
960	2046	4341
961	2047	4338
962	2049	4335
963	2051	4332
964	2053	4329
965	2054	4326
966	2056	4323
967	2058	4320
968	2060	4317
969	2061	4315
970	2063	4312
971	2065	4309
972	2067	4306
973	2069	4303
974	2070	4301
975	2072	4298
976	2074	4295
977	2076	4292
978	2077	4289
979	2079	4286
980	2081	4284
981	2083	4281
982	2085	4278
983	2087	4276
984	2088	4273
985	2090	4270
986	2092	4268
987	2094	4265
988	2096	4262
989	2098	4259
990	2099	4257
991	2101	4254
992	2103	4251
993	2105	4249
994	2107	4247
995	2109	4244
996	2111	4241
997	2112	4238
998	2114	4235
999	2116	4232
1000	2118	4230
1001	2120	4227
1002	2122	4224
1003	2123	4221
1004	2125	4219
1005	2127	4216
1006	2129	4213
1007	2131	4211
1008	2132	4208
1009	2134	4206
1010	2136	4203
1011	2138	4200
1012	2139	4197
1013	2141	4194
1014	2143	4192
1015	2145	4189
1016	2147	4186
1017	2148	4183
1018	2150	4181
1019	2152	4178
1020	2154	4175
1021	2155	4172
1022	2157	4169
1023	2159	4167
1024	2161	4164
1025	2163	4161
1026	2164	4158
1027	2166	4156
1028	2168	4154
1029	2170	4151
1030	2172	4149
1031	2174	4146
1032	2176	4144
1033	2178	4141
1034	2179	4138
1035	2181	4135
1036	2183	4133
1037	2185	4130
1038	2186	4127
1039	2188	4124
1040	2190	4121
1041	2191	4118
1042	2193	4116
1043	2195	4113
1044	2197	4111
1045	2199	4108
1046	2200	4105
1047	2202	4102
1048	2204	4099
1049	2205	4096
1050	2207	4094
1051	2209	4091
1052	2211	4089
1053	2213	4086
1054	2215	4083
1055	2216	4081
1056	2218	4078
1057	2220	4076
1058	2222	4073
1059	2224	4071
1060	2226	4068
1061	2228	4066
1062	2229	4063
1063	2231	4060
1064	2233	4058
1065	2235	4055
1066	2237	4053
1067	2239	4051
1068	2241	4049
1069	2243	4046
1070	2245	4044
1071	2247	4041
1072	2248	4038
1073	2250	4036
1074	2252	4033
1075	2254	4030
1076	2256	4028
1077	2258	4026
1078	2260	4024
1079	2261	4021
1080	2263	4018
1081	2265	4015
1082	2267	4012
1083	2268	4010
1084	2270	4007
1085	2272	4004
1086	2274	4002
1087	2275	3999
1088	2277	3996
1089	2279	3994
1090	2281	3991
1091	2282	3988
1092	2284	3986
1093	2286	3984
1094	2288	3981
1095	2290	3978
1096	2291	3975
1097	2293	3972
1098	2295	3970
1099	2297	3968
1100	2299	3965
1101	2301	3963
1102	2302	3960
1103	2304	3957
1104	2306	3954
1105	2307	3952
1106	2309	3949
1107	2311	3946
1108	2313	3944
1109	2315	3941
1110	2316	3939
1111	2318	3936
1112	2320	3933
1113	2322	3931
1114	2324	3929
1115	2325	3926
1116	2327	3923
1117	2329	3920
1118	2330	3918
1119	2332	3915
1120	2334	3913
1121	2336	3910
1122	2338	3908
1123	2340	3905
1124	2341	3902
1125	2343	3900
1126	2345	3897
1127	2346	3894
1128	2348	3892
1129	2350	3890
1130	2352	3887
1131	2354	3884
1132	2355	3882
1133	2357	3879
1134	2359	3877
1135	2362	3875
1136	2363	3873
1137	2365	3870
1138	2367	3868
1139	2369	3865
1140	2370	3862
1141	2372	3860
1142	2374	3858
1143	2376	3855
1144	2378	3853
1145	2380	3851
1146	2382	3849
1147	2384	3846
1148	2386	3844
1149	2388	3842
1150	2390	3839
1151	2391	3836
1152	2393	3834
1153	2395	3831
1154	2396	3828
1155	2399	3826
1156	2400	3824
1157	2402	3821
1158	2404	3819
1159	2406	3816
1160	2408	3814
1161	2409	3811
1162	2411	3809
1163	2413	3806
1164	2415	3804
1165	2417	3802
1166	2419	3800
1167	2421	3797
1168	2422	3794
1169	2425	3793
1170	2426	3790
1171	2428	3788
1172	2430	3785
1173	2432	3783
1174	2434	3781
1175	2436	3779
1176	2438	3777
1177	2440	3774
1178	2442	3772
1179	2444	3770
1180	2446	3768
1181	2448	3765
1182	2450	3763
1183	2452	3761
1184	2454	3759
1185	2456	3756
1186	2457	3754
1187	2459	3751
1188	2461	3749
1189	2463	3747
1190	2465	3744
1191	2467	3742
1192	2469	3740
1193	2471	3737
1194	2473	3735
1195	2475	3734
1196	2477	3731
1197	2479	3729
1198	2481	3727
1199	2482	3724
1200	2484	3721
1201	2486	3718
1202	2488	3716
1203	2490	3714
1204	2491	3711
1205	2493	3709
1206	2495	3706
1207	2496	3703
1208	2498	3701
1209	2500	3698
1210	2501	3696
1211	2503	3694
1212	2505	3691
1213	2507	3688
1214	2509	3686
1215	2510	3683
1216	2512	3681
1217	2514	3678
1218	2516	3676
1219	2517	3673
1220	2519	3670
1221	2521	3668
1222	2523	3665
1223	2524	3663
1224	2526	3660
1225	2528	3658
1226	2530	3655
1227	2531	3653
1228	2533	3650
1229	2535	3648
1230	2536	3645
1231	2538	3643
1232	2540	3640
1233	2542	3638
1234	2543	3635
1235	2545	3632
1236	2547	3630
1237	2548	3627
1238	2550	3624
1239	2552	3622
1240	2554	3620
1241	2555	3617
1242	2557	3615
1243	2559	3612
1244	2560	3609
1245	2562	3607
1246	2564	3604
1247	2566	3602
1248	2568	3600
1249	2569	3597
1250	2572	3595
1251	2573	3593
1252	2575	3590
1253	2577	3588
1254	2579	3586
1255	2581	3584
1256	2583	3582
1257	2585	3579
1258	2586	3577
1259	2588	3574
1260	2590	3572
1261	2592	3569
1262	2593	3567
1263	2595	3564
1264	2597	3562
1265	2599	3559
1266	2600	3557
1267	2602	3555
1268	2604	3552
1269	2606	3550
1270	2608	3547
1271	2610	3545
1272	2611	3543
1273	2613	3540
1274	2615	3538
1275	2617	3536
1276	2619	3534
1277	2621	3532
1278	2623	3529
1279	2625	3527
1280	2626	3525
1281	2629	3523
1282	2630	3520
1283	2632	3518
1284	2634	3516
1285	2636	3513
1286	2638	3511
1287	2640	3509
1288	2642	3507
1289	2644	3505
1290	2646	3503
1291	2648	3501
1292	2650	3498
1293	2652	3496
1294	2654	3494
1295	2656	3492
1296	2657	3489
1297	2659	3487
1298	2661	3484
1299	2662	3482
1300	2664	3479
1301	2666	3477
1302	2668	3475
1303	2670	3473
1304	2672	3470
1305	2673	3468
1306	2675	3465
1307	2677	3463
1308	2679	3461
1309	2684	3463
1310	2687	3461
1311	2689	3460
1312	2691	3458
1313	2694	3456
1314	2696	3454
1315	2698	3453
1316	2701	3452
1317	2704	3451
1318	2707	3450
1319	2710	3449
1320	2712	3447
1321	2714	3446
1322	2717	3444
1323	2719	3442
1324	2722	3441
1325	2724	3439
1326	2727	3438
1327	2729	3436
1328	2732	3435
1329	2734	3434
1330	2736	3432
1331	2738	3429
1332	2740	3427
1333	2742	3425
1334	2744	3423
1335	2746	3421
1336	2748	3418
1337	2750	3416
1338	2752	3414
1339	2754	3412
1340	2756	3410
1341	2759	3408
1342	2761	3406
1343	2763	3404
1344	2765	3402
1345	2767	3400
1346	2769	3398
1347	2771	3396
1348	2773	3394
1349	2775	3391
1350	2777	3389
1351	2778	3387
1352	2780	3384
1353	2782	3382
1354	2784	3380
1355	2786	3378
1356	2788	3375
1357	2789	3373
1358	2791	3370
1359	2793	3368
1360	2795	3365
1361	2796	3363
1362	2798	3360
1363	2800	3358
1364	2801	3356
1365	2803	3354
1366	2806	3352
1367	2808	3350
1368	2810	3348
1369	2812	3346
1370	2814	3344
1371	2816	3341
1372	2818	3339
1373	2820	3337
1374	2822	3335
1375	2824	3333
1376	2826	3330
1377	2828	3328
1378	2829	3326
1379	2832	3324
1380	2834	3322
1381	2835	3320
1382	2837	3317
1383	2839	3315
1384	2841	3312
1385	2842	3310
1386	2845	3308
1387	2847	3306
1388	2848	3304
1389	2850	3301
1390	2852	3299
1391	2854	3297
1392	2856	3295
1393	2857	3292
1394	2859	3290
1395	2861	3287
1396	2863	3285
1397	2865	3283
1398	2867	3281
1399	2869	3279
1400	2871	3277
1401	2873	3275
1402	2875	3273
1403	2877	3271
1404	2879	3269
1405	2881	3266
1406	2883	3264
1407	2884	3261
1408	2886	3259
1409	2888	3257
1410	2890	3254
1411	2892	3252
1412	2893	3250
1413	2895	3247
1414	2897	3245
1415	2898	3242
1416	2900	3240
1417	2902	3238
1418	2904	3236
1419	2906	3234
1420	2908	3232
1421	2910	3230
1422	2912	3227
1423	2914	3225
1424	2916	3223
1425	2918	3221
